track_id,h5_path,midi_path,cluster,distance_to_centroid
TRAAKQA128F424B272,..\data\dataset\A\A\K\TRAAKQA128F424B272.h5,..\data\raw_midi\A\A\K\TRAAKQA128F424B272\526750c2fe52fa1c6a2c13f2dc8e677c.mid,7,4.3094735
TRAAKQS128F4224DE1,..\data\dataset\A\A\K\TRAAKQS128F4224DE1.h5,..\data\raw_midi\A\A\K\TRAAKQS128F4224DE1\1b81df0cf9b1c649b279d8b6f02ce43d.mid,7,3.4562998
TRAALAH128E078234A,..\data\dataset\A\A\L\TRAALAH128E078234A.h5,..\data\raw_midi\A\A\L\TRAALAH128E078234A\8cfecf566c75342d13c327f8a7abc414.mid,1,3.1419778
TRAAMBM128F4248306,..\data\dataset\A\A\M\TRAAMBM128F4248306.h5,..\data\raw_midi\A\A\M\TRAAMBM128F4248306\0435c5ba618a4e13d66e233b900aa7c5.mid,4,4.6230507
TRAAMLX12903CF5B92,..\data\dataset\A\A\M\TRAAMLX12903CF5B92.h5,..\data\raw_midi\A\A\M\TRAAMLX12903CF5B92\853741216077b06fce632a09ec2622af.mid,3,5.8672447
TRAANTZ128E0792529,..\data\dataset\A\A\N\TRAANTZ128E0792529.h5,..\data\raw_midi\A\A\N\TRAANTZ128E0792529\689c4bf6e5302a2f383f335c26b6ab9b.mid,7,4.141133
TRAANZE128F148BF55,..\data\dataset\A\A\N\TRAANZE128F148BF55.h5,..\data\raw_midi\A\A\N\TRAANZE128F148BF55\0597bf18743a5aacfedc981eb58c9da9.mid,1,2.9488866
TRAAOPV128F92F7CE9,..\data\dataset\A\A\O\TRAAOPV128F92F7CE9.h5,..\data\raw_midi\A\A\O\TRAAOPV128F92F7CE9\02264fee9c66cda1a2b783a2fa85fdad.mid,0,4.4054227
TRAAPHH128F145D947,..\data\dataset\A\A\P\TRAAPHH128F145D947.h5,..\data\raw_midi\A\A\P\TRAAPHH128F145D947\7d8981b527b210211ff4913984918ff5.mid,5,2.8807924
TRAAPPQ128F14961F5,..\data\dataset\A\A\P\TRAAPPQ128F14961F5.h5,..\data\raw_midi\A\A\P\TRAAPPQ128F14961F5\d39a20f33af4fb6b307529db8cf0cc3f.mid,5,4.906414
TRAAPVV128F425D64C,..\data\dataset\A\A\P\TRAAPVV128F425D64C.h5,..\data\raw_midi\A\A\P\TRAAPVV128F425D64C\0372dae2232c1a9dada5e7d1a64214c7.mid,3,3.447746
TRAAQZY128F9364CC3,..\data\dataset\A\A\Q\TRAAQZY128F9364CC3.h5,..\data\raw_midi\A\A\Q\TRAAQZY128F9364CC3\0c76c95341f183aef13ede4cbc48e789.mid,7,3.1230264
TRAARCW12903CEB779,..\data\dataset\A\A\R\TRAARCW12903CEB779.h5,..\data\raw_midi\A\A\R\TRAARCW12903CEB779\11abc85947426364526304940e4bd3d1.mid,0,3.6882524
TRAASFP128F42980BD,..\data\dataset\A\A\S\TRAASFP128F42980BD.h5,..\data\raw_midi\A\A\S\TRAASFP128F42980BD\1e8ed6ab0ffbe1296abf1c80428db151.mid,6,4.3828487
TRAASKR128F92DF3D1,..\data\dataset\A\A\S\TRAASKR128F92DF3D1.h5,..\data\raw_midi\A\A\S\TRAASKR128F92DF3D1\b6f66bed0fd9d5362e1d8e12d6c4b191.mid,7,4.4117928
TRAASKZ128F9308820,..\data\dataset\A\A\S\TRAASKZ128F9308820.h5,..\data\raw_midi\A\A\S\TRAASKZ128F9308820\886270e42b69e0983dfd9a591e66f214.mid,1,4.2806196
TRAASMT12903CC238B,..\data\dataset\A\A\S\TRAASMT12903CC238B.h5,..\data\raw_midi\A\A\S\TRAASMT12903CC238B\4ba337cfd18e6d460ba041813c1c0b0d.mid,6,2.7699008
TRAASNR12903CB443D,..\data\dataset\A\A\S\TRAASNR12903CB443D.h5,..\data\raw_midi\A\A\S\TRAASNR12903CB443D\0b1bbcd10661796724737a48de9038cc.mid,2,6.1374445
TRAATZB12903CC59D8,..\data\dataset\A\A\T\TRAATZB12903CC59D8.h5,..\data\raw_midi\A\A\T\TRAATZB12903CC59D8\1cddb3b2dcf902030ef1bde2d355d921.mid,0,5.0661774
TRAAVUT128F92F74F7,..\data\dataset\A\A\V\TRAAVUT128F92F74F7.h5,..\data\raw_midi\A\A\V\TRAAVUT128F92F74F7\1a9ac085056cc265e1d85eb8a942d361.mid,2,3.7953694
TRAAWSJ128F933D7EF,..\data\dataset\A\A\W\TRAAWSJ128F933D7EF.h5,..\data\raw_midi\A\A\W\TRAAWSJ128F933D7EF\030b710cd8b057bb6cb028734f5cf280.mid,7,2.5305717
TRAAXWM128F428A0F1,..\data\dataset\A\A\X\TRAAXWM128F428A0F1.h5,..\data\raw_midi\A\A\X\TRAAXWM128F428A0F1\679a5a8295d83097e3c62fc43d364175.mid,6,2.1737494
TRAAYGH128F92ECD16,..\data\dataset\A\A\Y\TRAAYGH128F92ECD16.h5,..\data\raw_midi\A\A\Y\TRAAYGH128F92ECD16\3346642dd3941a11aaccdf1b24ae10aa.mid,7,2.845738
TRAAYGT128F4262DDF,..\data\dataset\A\A\Y\TRAAYGT128F4262DDF.h5,..\data\raw_midi\A\A\Y\TRAAYGT128F4262DDF\12d3ef7046783f1fba07da859511fb41.mid,6,3.566551
TRAAZJU12903C980B6,..\data\dataset\A\A\Z\TRAAZJU12903C980B6.h5,..\data\raw_midi\A\A\Z\TRAAZJU12903C980B6\e8a3dad4dfce12c89cec4bec8626a1b2.mid,4,5.651603
TRAAZVF128F145BFED,..\data\dataset\A\A\Z\TRAAZVF128F145BFED.h5,..\data\raw_midi\A\A\Z\TRAAZVF128F145BFED\091b81393cf69d05a2c3755062460498.mid,6,3.3013306
TRAAZVG128F425A9BD,..\data\dataset\A\A\Z\TRAAZVG128F425A9BD.h5,..\data\raw_midi\A\A\Z\TRAAZVG128F425A9BD\632225ed5681dcb64a41cf6089f32147.mid,5,3.0331328
TRABAFJ128F42AF24E,..\data\dataset\A\B\A\TRABAFJ128F42AF24E.h5,..\data\raw_midi\A\B\A\TRABAFJ128F42AF24E\9f23c96d46ded0be0705e17c8b52f52b.mid,0,4.8555937
TRABAHZ128F933BD45,..\data\dataset\A\B\A\TRABAHZ128F933BD45.h5,..\data\raw_midi\A\B\A\TRABAHZ128F933BD45\ac7eae2e058cfbb6ece8a5bbadd6a161.mid,7,4.061754
TRABAYJ128F92E34EC,..\data\dataset\A\B\A\TRABAYJ128F92E34EC.h5,..\data\raw_midi\A\B\A\TRABAYJ128F92E34EC\3056c10a32eae29dc187cb8c742ecbb7.mid,1,3.987811
TRABBFC128F428DFC5,..\data\dataset\A\B\B\TRABBFC128F428DFC5.h5,..\data\raw_midi\A\B\B\TRABBFC128F428DFC5\5ddbfe0dfef34c6bb483f50edcb0f5c2.mid,3,4.624144
TRABBNH128F93392A1,..\data\dataset\A\B\B\TRABBNH128F93392A1.h5,..\data\raw_midi\A\B\B\TRABBNH128F93392A1\01b5b401a98fa77f45b25063c7cdaeb3.mid,0,4.022072
TRABBNN128F931E094,..\data\dataset\A\B\B\TRABBNN128F931E094.h5,..\data\raw_midi\A\B\B\TRABBNN128F931E094\3412283bb40d2ceebd11b4639d2157cb.mid,1,3.0719607
TRABCJP128F4228913,..\data\dataset\A\B\C\TRABCJP128F4228913.h5,..\data\raw_midi\A\B\C\TRABCJP128F4228913\051c96b5209e18cc4e263efe58df16e8.mid,2,4.1243663
TRABEIK128F1456D56,..\data\dataset\A\B\E\TRABEIK128F1456D56.h5,..\data\raw_midi\A\B\E\TRABEIK128F1456D56\963f64dd7134630efa174e32c9cb8ca1.mid,7,5.784362
TRABGCD128F42884EB,..\data\dataset\A\B\G\TRABGCD128F42884EB.h5,..\data\raw_midi\A\B\G\TRABGCD128F42884EB\89be0ac97755ad4c5d682d5129586b89.mid,7,2.929443
TRABGMB128F92E8CF7,..\data\dataset\A\B\G\TRABGMB128F92E8CF7.h5,..\data\raw_midi\A\B\G\TRABGMB128F92E8CF7\141bd32c03e7243b4fc2d3d1ccc64852.mid,7,3.0541108
TRABGRH12903CB2ACA,..\data\dataset\A\B\G\TRABGRH12903CB2ACA.h5,..\data\raw_midi\A\B\G\TRABGRH12903CB2ACA\bb89cb10224f97d121bdcb3753fdf04a.mid,0,7.0074835
TRABHTY12903CCE195,..\data\dataset\A\B\H\TRABHTY12903CCE195.h5,..\data\raw_midi\A\B\H\TRABHTY12903CCE195\0599e2bbb65b4256a74cfa07e1e742b4.mid,6,3.1447296
TRABITZ12903CA9B5A,..\data\dataset\A\B\I\TRABITZ12903CA9B5A.h5,..\data\raw_midi\A\B\I\TRABITZ12903CA9B5A\0100c73ba81dff1f5a793105f26091e8.mid,5,4.2925634
TRABIYX128F4286244,..\data\dataset\A\B\I\TRABIYX128F4286244.h5,..\data\raw_midi\A\B\I\TRABIYX128F4286244\41610e6959c2a616f2aa0bfdcfd93335.mid,0,10.0149555
TRABJCV128F4290D34,..\data\dataset\A\B\J\TRABJCV128F4290D34.h5,..\data\raw_midi\A\B\J\TRABJCV128F4290D34\937a9bfa7b685f3268c2dc52ef3636bb.mid,6,3.6979222
TRABKUJ128F4292445,..\data\dataset\A\B\K\TRABKUJ128F4292445.h5,..\data\raw_midi\A\B\K\TRABKUJ128F4292445\ad718be7bdd06c041b5b6eb4ce997489.mid,0,4.5217595
TRABLGN128F933D417,..\data\dataset\A\B\L\TRABLGN128F933D417.h5,..\data\raw_midi\A\B\L\TRABLGN128F933D417\e36f4303f8b2e0b4755cc6f12fabc122.mid,0,3.4622152
TRABLNQ128F930E053,..\data\dataset\A\B\L\TRABLNQ128F930E053.h5,..\data\raw_midi\A\B\L\TRABLNQ128F930E053\2dc179329eace7978f7d66396c78a1e5.mid,0,4.408876
TRABLTP128F930DC6D,..\data\dataset\A\B\L\TRABLTP128F930DC6D.h5,..\data\raw_midi\A\B\L\TRABLTP128F930DC6D\7ad58fc00786d37bbdf605b5ac407c6c.mid,7,2.5742283
TRABMFI128F1476F9F,..\data\dataset\A\B\M\TRABMFI128F1476F9F.h5,..\data\raw_midi\A\B\M\TRABMFI128F1476F9F\f7eba204c8ae2a38d51971439a5018bf.mid,6,3.516659
TRABMIC128F9314139,..\data\dataset\A\B\M\TRABMIC128F9314139.h5,..\data\raw_midi\A\B\M\TRABMIC128F9314139\dc54dfe1ee8500bb247c626405b457b4.mid,6,3.6869464
TRABMSM12903CB9625,..\data\dataset\A\B\M\TRABMSM12903CB9625.h5,..\data\raw_midi\A\B\M\TRABMSM12903CB9625\0f3c29271f1bfd7f7f7c9fa4019b85f1.mid,6,2.702239
TRABNZK128F42AB221,..\data\dataset\A\B\N\TRABNZK128F42AB221.h5,..\data\raw_midi\A\B\N\TRABNZK128F42AB221\21e9660127ff5467ac01a5128baf1926.mid,1,3.5692947
TRABPDX128F421FAAE,..\data\dataset\A\B\P\TRABPDX128F421FAAE.h5,..\data\raw_midi\A\B\P\TRABPDX128F421FAAE\83f43510f1148cde3626daac618a9796.mid,6,3.1235828
TRABPKX128F14938FE,..\data\dataset\A\B\P\TRABPKX128F14938FE.h5,..\data\raw_midi\A\B\P\TRABPKX128F14938FE\59a78b8268b8e3a14210ef68dff1b604.mid,7,3.5733433
TRABQDP128F42921F8,..\data\dataset\A\B\Q\TRABQDP128F42921F8.h5,..\data\raw_midi\A\B\Q\TRABQDP128F42921F8\03cfe9c5bcba85382e3baa8754e2953e.mid,6,3.3621209
TRABQDW128F92F27C4,..\data\dataset\A\B\Q\TRABQDW128F92F27C4.h5,..\data\raw_midi\A\B\Q\TRABQDW128F92F27C4\af687d9052eb9b7a810c9b96183f8d78.mid,5,4.6662087
TRABQEP128F427F957,..\data\dataset\A\B\Q\TRABQEP128F427F957.h5,..\data\raw_midi\A\B\Q\TRABQEP128F427F957\cbca4c2752c2b96613c65284ca2b9200.mid,1,4.1242213
TRABQUM12903C9A618,..\data\dataset\A\B\Q\TRABQUM12903C9A618.h5,..\data\raw_midi\A\B\Q\TRABQUM12903C9A618\1121cff47e8cdd74b7200f3d399a7c96.mid,1,5.5966153
TRABRMZ128F4261DED,..\data\dataset\A\B\R\TRABRMZ128F4261DED.h5,..\data\raw_midi\A\B\R\TRABRMZ128F4261DED\20bdf9007624a9d5ee9e917d0de356c9.mid,6,3.636884
TRABRUJ128F42ADE0D,..\data\dataset\A\B\R\TRABRUJ128F42ADE0D.h5,..\data\raw_midi\A\B\R\TRABRUJ128F42ADE0D\025fb4d42ff236cb25881dde5c380c1a.mid,7,2.559737
TRABSFZ128E07936F7,..\data\dataset\A\B\S\TRABSFZ128E07936F7.h5,..\data\raw_midi\A\B\S\TRABSFZ128E07936F7\5231954a5717a410d2a7738d83864a43.mid,6,3.9410455
TRABTWX128F42B8619,..\data\dataset\A\B\T\TRABTWX128F42B8619.h5,..\data\raw_midi\A\B\T\TRABTWX128F42B8619\7065a08391ee86cbbd393ba94b732739.mid,1,4.662262
TRABUCZ128F424163A,..\data\dataset\A\B\U\TRABUCZ128F424163A.h5,..\data\raw_midi\A\B\U\TRABUCZ128F424163A\4b809c095597c4533cf4d8b3126b49ee.mid,1,2.7481065
TRABUSZ128F4257BAB,..\data\dataset\A\B\U\TRABUSZ128F4257BAB.h5,..\data\raw_midi\A\B\U\TRABUSZ128F4257BAB\0350e57757e2e2bd2d6aadf14ee9065d.mid,3,4.440576
TRABUXE12903D16619,..\data\dataset\A\B\U\TRABUXE12903D16619.h5,..\data\raw_midi\A\B\U\TRABUXE12903D16619\e5839ee3d9faa5f48d565de970558d7a.mid,1,3.8636942
TRABVAW12903CDE0A2,..\data\dataset\A\B\V\TRABVAW12903CDE0A2.h5,..\data\raw_midi\A\B\V\TRABVAW12903CDE0A2\28dc32a29b7e6034e98de2e063921038.mid,5,5.816106
TRABVQY128F9329431,..\data\dataset\A\B\V\TRABVQY128F9329431.h5,..\data\raw_midi\A\B\V\TRABVQY128F9329431\03ff7bf79f940ec1cc5e09cac37ee2ba.mid,5,3.9949224
TRABVVK12903CF09C8,..\data\dataset\A\B\V\TRABVVK12903CF09C8.h5,..\data\raw_midi\A\B\V\TRABVVK12903CF09C8\2eb9c151271bd4db228314806424efc5.mid,2,3.589089
TRABVVN12903CB6445,..\data\dataset\A\B\V\TRABVVN12903CB6445.h5,..\data\raw_midi\A\B\V\TRABVVN12903CB6445\1dbcd2e2ba968cbd1f9cab03a81f2adb.mid,2,6.978416
TRABWCG12903CF85F4,..\data\dataset\A\B\W\TRABWCG12903CF85F4.h5,..\data\raw_midi\A\B\W\TRABWCG12903CF85F4\0e3824b7b56ace4d7e5dc3d5fb0f362b.mid,3,4.5036693
TRABXWL128F930C085,..\data\dataset\A\B\X\TRABXWL128F930C085.h5,..\data\raw_midi\A\B\X\TRABXWL128F930C085\4a3f9d8726f5c51606638d586332621d.mid,0,4.6318836
TRABYJG128F424D12B,..\data\dataset\A\B\Y\TRABYJG128F424D12B.h5,..\data\raw_midi\A\B\Y\TRABYJG128F424D12B\2cdb25a9abc795d12679c3f6abc2b212.mid,3,3.974309
TRABYQX128F427CF08,..\data\dataset\A\B\Y\TRABYQX128F427CF08.h5,..\data\raw_midi\A\B\Y\TRABYQX128F427CF08\74ea00a472b957b7ea92196e4bd2c659.mid,5,4.127136
TRABYWC128F9307C66,..\data\dataset\A\B\Y\TRABYWC128F9307C66.h5,..\data\raw_midi\A\B\Y\TRABYWC128F9307C66\f030fac137195a1a7fcd681712c36c40.mid,7,2.6626115
TRABZDG128F931803F,..\data\dataset\A\B\Z\TRABZDG128F931803F.h5,..\data\raw_midi\A\B\Z\TRABZDG128F931803F\d6371159fa42356ebd38380f7f0feec2.mid,2,4.386756
TRABZSL128F932A529,..\data\dataset\A\B\Z\TRABZSL128F932A529.h5,..\data\raw_midi\A\B\Z\TRABZSL128F932A529\d35966f947b2230089846cd6d5bff8a5.mid,7,3.485822
TRABZYK12903D000B2,..\data\dataset\A\B\Z\TRABZYK12903D000B2.h5,..\data\raw_midi\A\B\Z\TRABZYK12903D000B2\5367f4a6a774be47a47b9b8c40a5605b.mid,6,3.6235654
TRABZZD128F9334C0B,..\data\dataset\A\B\Z\TRABZZD128F9334C0B.h5,..\data\raw_midi\A\B\Z\TRABZZD128F9334C0B\2e2eda193b7c512821ae4a1eecc9df78.mid,1,4.99133
TRACBNP128F4278243,..\data\dataset\A\C\B\TRACBNP128F4278243.h5,..\data\raw_midi\A\C\B\TRACBNP128F4278243\29e67e2d8c6b7ebc62c010988f711411.mid,7,3.2549675
TRACCYA128F424AD33,..\data\dataset\A\C\C\TRACCYA128F424AD33.h5,..\data\raw_midi\A\C\C\TRACCYA128F424AD33\15846a1c24933574cb501b432715ba03.mid,1,2.643687
TRACDHB12903CDF8F6,..\data\dataset\A\C\D\TRACDHB12903CDF8F6.h5,..\data\raw_midi\A\C\D\TRACDHB12903CDF8F6\83a50075bffb075a9cbc1047d1d3096e.mid,0,3.9170766
TRACDLP12903CBE918,..\data\dataset\A\C\D\TRACDLP12903CBE918.h5,..\data\raw_midi\A\C\D\TRACDLP12903CBE918\eeeea7ca7185792d5a0a4a9ef85d7838.mid,1,4.257257
TRACDWG128F428B068,..\data\dataset\A\C\D\TRACDWG128F428B068.h5,..\data\raw_midi\A\C\D\TRACDWG128F428B068\6c1e4bc1e31093cda52fffde367901af.mid,6,3.1345894
TRACEDW128EF353CA4,..\data\dataset\A\C\E\TRACEDW128EF353CA4.h5,..\data\raw_midi\A\C\E\TRACEDW128EF353CA4\a06f896bf7c56308363b73173664568b.mid,6,3.9048347
TRACETV12903CDD0F6,..\data\dataset\A\C\E\TRACETV12903CDD0F6.h5,..\data\raw_midi\A\C\E\TRACETV12903CDD0F6\1c54a4d8d87389ebd6066801b04e7b4b.mid,3,4.1143785
TRACEUX128F425CE5A,..\data\dataset\A\C\E\TRACEUX128F425CE5A.h5,..\data\raw_midi\A\C\E\TRACEUX128F425CE5A\0488153f61e41f4fae5f2b46fd6c5b4e.mid,2,4.2172365
TRACFHZ128F4227BA4,..\data\dataset\A\C\F\TRACFHZ128F4227BA4.h5,..\data\raw_midi\A\C\F\TRACFHZ128F4227BA4\1d53a79c499b420b3395ed866a9a20bf.mid,3,4.7302637
TRACFSA12903CC089B,..\data\dataset\A\C\F\TRACFSA12903CC089B.h5,..\data\raw_midi\A\C\F\TRACFSA12903CC089B\7b3be01c008f3acd9906739120097480.mid,5,3.3680937
TRACHCK128F425AD97,..\data\dataset\A\C\H\TRACHCK128F425AD97.h5,..\data\raw_midi\A\C\H\TRACHCK128F425AD97\2eba4c99c18d99e8908ff613e774b838.mid,6,4.363818
TRACHRV128F4214FB6,..\data\dataset\A\C\H\TRACHRV128F4214FB6.h5,..\data\raw_midi\A\C\H\TRACHRV128F4214FB6\020ae8f827b69c9e6f953284f75542c6.mid,1,4.311972
TRACIQM128E079691F,..\data\dataset\A\C\I\TRACIQM128E079691F.h5,..\data\raw_midi\A\C\I\TRACIQM128E079691F\6996eb4f69ebcc30e4f2adae220ed2dc.mid,7,4.0390396
TRACIRX12903CB5FF1,..\data\dataset\A\C\I\TRACIRX12903CB5FF1.h5,..\data\raw_midi\A\C\I\TRACIRX12903CB5FF1\81d301b1d3f080093096fe8cc7114c5d.mid,0,3.5533557
TRACJSK128F92EDF79,..\data\dataset\A\C\J\TRACJSK128F92EDF79.h5,..\data\raw_midi\A\C\J\TRACJSK128F92EDF79\1e4bdfffd4b8aab9c821001a24a5a5d9.mid,5,3.760799
TRACJWL128F92FB60E,..\data\dataset\A\C\J\TRACJWL128F92FB60E.h5,..\data\raw_midi\A\C\J\TRACJWL128F92FB60E\31a3a52f9d682d9621d8cae6303aad72.mid,1,4.228853
TRACJYX128F1453469,..\data\dataset\A\C\J\TRACJYX128F1453469.h5,..\data\raw_midi\A\C\J\TRACJYX128F1453469\5ad0f2d306586aea2de1f1652e0b1652.mid,1,2.6258786
TRACKAP128F425B741,..\data\dataset\A\C\K\TRACKAP128F425B741.h5,..\data\raw_midi\A\C\K\TRACKAP128F425B741\202e8bf3824576d0a3925a4bda048b65.mid,7,4.154586
TRACLRS12903CE9386,..\data\dataset\A\C\L\TRACLRS12903CE9386.h5,..\data\raw_midi\A\C\L\TRACLRS12903CE9386\0e0265a8602a207cbb499d498027d52f.mid,4,3.5783584
TRACMAJ128F1458881,..\data\dataset\A\C\M\TRACMAJ128F1458881.h5,..\data\raw_midi\A\C\M\TRACMAJ128F1458881\5cd447060287a9c06a83b0ea6b277301.mid,6,4.173309
TRACMKU128F4263E6F,..\data\dataset\A\C\M\TRACMKU128F4263E6F.h5,..\data\raw_midi\A\C\M\TRACMKU128F4263E6F\fb4b144b85d30b58d5087b4e9db91ad2.mid,1,2.9778159
TRACMMC128F92FA031,..\data\dataset\A\C\M\TRACMMC128F92FA031.h5,..\data\raw_midi\A\C\M\TRACMMC128F92FA031\1482d282c46edf585b9ee727776d482d.mid,5,4.60633
TRACMSA128F149ED25,..\data\dataset\A\C\M\TRACMSA128F149ED25.h5,..\data\raw_midi\A\C\M\TRACMSA128F149ED25\79e18df51e33d89f820873379e1f4cac.mid,7,2.066423
TRACNAS128F14567C6,..\data\dataset\A\C\N\TRACNAS128F14567C6.h5,..\data\raw_midi\A\C\N\TRACNAS128F14567C6\69d2890452972dd653a5fa0b2fc5a813.mid,6,3.8278964
TRACNDV12903C9ABA7,..\data\dataset\A\C\N\TRACNDV12903C9ABA7.h5,..\data\raw_midi\A\C\N\TRACNDV12903C9ABA7\7661eb2c85d0369c36f1dd38ca420770.mid,0,4.107554
TRACNMH12903CA9CCC,..\data\dataset\A\C\N\TRACNMH12903CA9CCC.h5,..\data\raw_midi\A\C\N\TRACNMH12903CA9CCC\c1f6817c7e5a03aa5214ff1db0b7d7d8.mid,5,3.8935921
TRACOLT128F427FF6E,..\data\dataset\A\C\O\TRACOLT128F427FF6E.h5,..\data\raw_midi\A\C\O\TRACOLT128F427FF6E\5d2bc52807409ca0ab30a199fb0a5653.mid,1,3.9954515
TRACOVU128EF34B7F4,..\data\dataset\A\C\O\TRACOVU128EF34B7F4.h5,..\data\raw_midi\A\C\O\TRACOVU128EF34B7F4\bcbba005f7bb9468d06bbc085ad4f70f.mid,6,3.6821086
TRACPDO128F9333AA7,..\data\dataset\A\C\P\TRACPDO128F9333AA7.h5,..\data\raw_midi\A\C\P\TRACPDO128F9333AA7\3b8edfc54beb5cd8c45d1e7991db6a4a.mid,4,6.983484
TRACPEN128F4293F01,..\data\dataset\A\C\P\TRACPEN128F4293F01.h5,..\data\raw_midi\A\C\P\TRACPEN128F4293F01\12bceadb496c9ba7a5b38aba04cbcff4.mid,7,2.8532338
TRACPLH128F428D852,..\data\dataset\A\C\P\TRACPLH128F428D852.h5,..\data\raw_midi\A\C\P\TRACPLH128F428D852\1418a5182d4d55d2f100d43709088db2.mid,4,3.770143
TRACQIB128F147DAC4,..\data\dataset\A\C\Q\TRACQIB128F147DAC4.h5,..\data\raw_midi\A\C\Q\TRACQIB128F147DAC4\313b6893e29a54a5872df5c92199eadf.mid,1,2.9064503
TRACQOD128F42A8237,..\data\dataset\A\C\Q\TRACQOD128F42A8237.h5,..\data\raw_midi\A\C\Q\TRACQOD128F42A8237\8452abfb7d962f98ab358a6363937ff8.mid,5,5.1237674
TRACRLM128F4250135,..\data\dataset\A\C\R\TRACRLM128F4250135.h5,..\data\raw_midi\A\C\R\TRACRLM128F4250135\64edbc3c676cd058eed908457bf9e2fb.mid,5,3.429129
TRACROF128F4276061,..\data\dataset\A\C\R\TRACROF128F4276061.h5,..\data\raw_midi\A\C\R\TRACROF128F4276061\b88e42e260e55a926c991f1f52602334.mid,0,7.432692
